,Predicted_censored
1,0.212670335600547
2,0.207265599636156
3,0.70137690898433
4,0.218888524241122
5,0.529751627135369
6,0.909600775450935
7,0.0974770791582159
8,0.102820480580179
9,0.928315341216296
10,0.232212001360746
11,0.718033537906204
12,0.784781117388714
13,0.21018822019947
14,0.227410166132016
15,0.173023808987892
16,0.339218837889678
17,0.39543906207677
18,0.18193940705064
19,0.0918972641638721
20,0.396133656028642
21,0.266853812585943
22,0.230297807509415
23,0.22151704276781
24,0.197635808310767
25,0.9407310430229
26,0.261976382402603
27,0.599885403256287
28,0.359453515094536
29,0.38311319643039
30,0.266731006947624
31,0.27083992871204
32,0.295387745417798
33,0.0350662731838209
34,0.252987186295565
35,0.39079159952784
36,0.365017434700517
37,0.722780057765823
38,0.346762134040841
39,0.461346807328354
40,0.365923787933393
41,0.561675867897417
42,0.868079128222158
43,0.679787706548485
44,0.412093896467028
45,0.479072155832355
46,0.0641057905477442
47,0.129750583415967
48,0.779214881839285
49,0.188220337087432
50,0.592137428314324
51,0.279919646835873
52,0.310867731580481
53,0.288064508566589
54,0.713778938281214
55,0.725610659081725
56,0.63322359264828
57,0.153020122703637
58,0.135259680605705
59,0.224151983018016
60,0.278872355657775
61,0.843191752170396
62,0.28724308076748
63,0.733713374697282
64,0.30053009425697
65,0.270409506760764
66,0.632662232647685
67,0.65122754616811
68,0.746876993255677
69,0.810763740112759
70,0.655635381263263
71,0.488618559003253
72,0.2103728117484
73,0.557837132966287
74,0.83585456361271
75,0.823099227165047
76,0.677316189559819
77,0.277194426249572
78,0.612688020903575
79,0.644072008541735
80,0.342028923649719
81,0.741376523356712
82,0.293887063182663
83,0.669356560657222
84,0.359608517484385
85,0.532065668577602
86,0.454299286150036
87,0.501694431371293
88,0.748637400822274
89,0.88587561414828
90,0.503065300234858
91,0.82660867133791
92,0.131342626294976
93,0.0482984652632602
94,0.113735731987373
95,0.444316477883318
96,0.0859032684342486
97,0.843317916164188
98,0.57981393935719
99,0.336685755241211
100,0.119946345823094
101,0.757735486736793
102,0.172863060105997
103,0.238356515008211
104,0.462256652045073
105,0.692270756894018
106,0.407151103416727
107,0.155713568007619
108,0.638213006055343
109,0.275423199816947
110,0.171860509602281
111,0.34200571033016
112,0.30370773862606
113,0.877678110922995
114,0.4722429963563
115,0.5937723261419
116,0.982610915010411
117,0.30887823643865
118,0.547486928668648
119,0.655004969643682
120,0.359462517921966
121,0.778399150573419
122,0.548271934942772
123,0.229162865524665
124,0.259637528313606
125,0.282779344897731
126,0.490312307138563
127,0.790299360144167
128,0.757720197995182
129,0.13503113782065
130,0.115117809595344
131,0.215658254272356
