,Predicted_censored
1,0.742446025642143
2,0.742446025642143
3,0.760568756944433
4,0.742446025642143
5,0.752512978614057
6,0.803082598152689
7,0.742446025642143
8,0.742446025642143
9,0.803082598152689
10,0.742446025642143
11,0.803082598152689
12,0.803082598152689
13,0.742446025642143
14,0.742446025642143
15,0.742446025642143
16,0.742871071029421
17,0.760568756944433
18,0.742446025642143
19,0.742446025642143
20,0.752128027508747
21,0.742446025642143
22,0.742446025642143
23,0.742446025642143
24,0.742446025642143
25,0.803082598152689
26,0.745352726584387
27,0.803082598152689
28,0.743477092115481
29,0.742446025642143
30,0.742446025642143
31,0.742446025642143
32,0.742446025642143
33,0.742871071029421
34,0.742871071029421
35,0.745352726584387
36,0.742871071029421
37,0.752512978614057
38,0.743477092115481
39,0.743477092115481
40,0.744519116764865
41,0.745352726584387
42,0.745352726584387
43,0.803082598152689
44,0.746589410254682
45,0.752128027508747
46,0.742446025642143
47,0.742446025642143
48,0.803082598152689
49,0.742446025642143
50,0.745715476160144
51,0.742446025642143
52,0.742446025642143
53,0.742446025642143
54,0.803082598152689
55,0.803082598152689
56,0.758831974331648
57,0.742446025642143
58,0.742446025642143
59,0.742446025642143
60,0.742446025642143
61,0.803082598152689
62,0.742446025642143
63,0.803082598152689
64,0.742446025642143
65,0.742446025642143
66,0.803082598152689
67,0.803082598152689
68,0.803082598152689
69,0.803082598152689
70,0.803082598152689
71,0.803082598152689
72,0.742446025642143
73,0.746288560737392
74,0.803082598152689
75,0.803082598152689
76,0.749025044717805
77,0.742871071029421
78,0.803082598152689
79,0.803082598152689
80,0.752512978614057
81,0.803082598152689
82,0.744791885459783
83,0.803082598152689
84,0.745352726584387
85,0.749725223806971
86,0.746589410254682
87,0.752128027508747
88,0.803082598152689
89,0.803082598152689
90,0.752512978614057
91,0.803082598152689
92,0.742446025642143
93,0.742446025642143
94,0.742446025642143
95,0.751857040540713
96,0.742446025642143
97,0.803082598152689
98,0.803082598152689
99,0.743477092115481
100,0.742446025642143
101,0.744519116764865
102,0.742446025642143
103,0.745080709777589
104,0.743477092115481
105,0.803082598152689
106,0.742446025642143
107,0.742871071029421
108,0.745080709777589
109,0.742446025642143
110,0.742446025642143
111,0.744135567186132
112,0.742871071029421
113,0.803082598152689
114,0.803082598152689
115,0.752128027508747
116,0.752512978614057
117,0.752128027508747
118,0.752512978614057
119,0.760568756944433
120,0.745352726584387
121,0.803082598152689
122,0.803082598152689
123,0.742871071029421
124,0.742871071029421
125,0.742446025642143
126,0.751857040540713
127,0.803082598152689
128,0.803082598152689
129,0.742446025642143
130,0.742446025642143
131,0.742446025642143
132,0.746589410254682
133,0.743477092115481
134,0.803082598152689
135,0.803082598152689
136,0.803082598152689
137,0.745080709777589
138,0.742446025642143
139,0.742446025642143
140,0.768951594201676
141,0.745080709777589
142,0.803082598152689
143,0.74680139443931
144,0.742446025642143
145,0.794496804544696
146,0.803082598152689
147,0.742446025642143
148,0.803082598152689
149,0.803082598152689
150,0.743477092115481
151,0.803082598152689
152,0.749025044717805
153,0.803082598152689
154,0.744791885459783
155,0.745352726584387
156,0.803082598152689
157,0.758831974331648
158,0.803082598152689
159,0.743724277235734
160,0.803082598152689
161,0.743275373747135
162,0.742871071029421
163,0.742446025642143
164,0.794496804544696
165,0.742446025642143
166,0.803082598152689
167,0.803082598152689
168,0.742446025642143
169,0.742446025642143
170,0.749025044717805
171,0.803082598152689
172,0.760568756944433
173,0.803082598152689
174,0.742446025642143
175,0.743477092115481
176,0.803082598152689
177,0.742446025642143
178,0.742446025642143
179,0.803082598152689
180,0.756781611609156
181,0.742446025642143
182,0.742446025642143
183,0.742446025642143
184,0.742446025642143
185,0.742446025642143
186,0.742446025642143
187,0.749025044717805
188,0.742446025642143
189,0.752128027508747
190,0.803082598152689
191,0.742446025642143
192,0.742446025642143
193,0.803082598152689
194,0.742871071029421
195,0.742446025642143
196,0.743724277235734
197,0.745352726584387
198,0.743477092115481
199,0.803082598152689
200,0.746288560737392
201,0.742446025642143
202,0.742446025642143
203,0.742446025642143
204,0.803082598152689
205,0.749025044717805
206,0.752512978614057
207,0.803082598152689
208,0.742446025642143
209,0.742446025642143
210,0.803082598152689
211,0.746589410254682
212,0.750776717609172
213,0.753207202912475
214,0.803082598152689
215,0.803082598152689
216,0.743477092115481
217,0.744791885459783
218,0.760568756944433
219,0.803082598152689
220,0.803082598152689
221,0.803082598152689
222,0.742446025642143
223,0.742446025642143
224,0.803082598152689
225,0.742446025642143
226,0.742446025642143
227,0.803082598152689
228,0.803082598152689
229,0.751857040540713
230,0.742871071029421
231,0.742871071029421
232,0.745715476160144
233,0.760568756944433
234,0.752128027508747
235,0.753207202912475
236,0.742446025642143
237,0.753207202912475
238,0.752128027508747
239,0.743477092115481
240,0.742446025642143
241,0.742446025642143
242,0.742446025642143
243,0.745997533057733
244,0.752128027508747
245,0.745352726584387
246,0.744791885459783
247,0.742446025642143
248,0.803082598152689
249,0.742446025642143
250,0.742871071029421
251,0.742446025642143
252,0.743477092115481
253,0.745352726584387
254,0.752128027508747
255,0.743724277235734
256,0.760568756944433
257,0.758831974331648
258,0.803082598152689
259,0.745352726584387
260,0.803082598152689
261,0.742446025642143
262,0.803082598152689
263,0.742446025642143
264,0.742446025642143
265,0.745352726584387
266,0.742446025642143
267,0.803082598152689
268,0.752128027508747
269,0.742446025642143
270,0.803082598152689
271,0.742446025642143
272,0.742446025642143
273,0.750776717609172
274,0.742446025642143
275,0.742446025642143
276,0.749025044717805
277,0.742446025642143
278,0.742446025642143
279,0.742446025642143
280,0.742446025642143
281,0.742446025642143
282,0.742446025642143
283,0.742446025642143
284,0.746589410254682
285,0.742446025642143
286,0.742446025642143
287,0.742446025642143
288,0.803082598152689
289,0.742446025642143
290,0.742446025642143
291,0.742446025642143
292,0.742446025642143
293,0.742446025642143
294,0.742446025642143
295,0.742446025642143
296,0.803082598152689
297,0.743477092115481
298,0.742446025642143
299,0.742446025642143
300,0.745080709777589
301,0.742446025642143
302,0.742446025642143
303,0.760568756944433
304,0.742446025642143
305,0.752512978614057
306,0.742871071029421
307,0.743477092115481
308,0.751857040540713
309,0.752128027508747
310,0.803082598152689
311,0.744317095569395
312,0.745352726584387
313,0.753207202912475
314,0.745997533057733
315,0.803082598152689
316,0.749025044717805
317,0.753207202912475
318,0.767970007345546
319,0.742446025642143
320,0.746589410254682
321,0.752512978614057
322,0.803082598152689
323,0.743477092115481
324,0.743477092115481
325,0.746589410254682
326,0.7615987568236
327,0.768951594201676
328,0.742446025642143
329,0.803082598152689
330,0.742446025642143
331,0.803082598152689
332,0.745352726584387
333,0.752512978614057
334,0.745352726584387
335,0.803082598152689
336,0.803082598152689
337,0.742446025642143
338,0.742446025642143
339,0.803082598152689
340,0.803082598152689
341,0.742446025642143
342,0.742446025642143
343,0.752512978614057
344,0.745352726584387
345,0.803082598152689
346,0.751857040540713
347,0.742446025642143
348,0.803082598152689
349,0.752512978614057
350,0.742871071029421
351,0.803082598152689
352,0.742446025642143
353,0.802457916349297
354,0.752128027508747
355,0.802457916349297
356,0.752128027508747
357,0.760568756944433
